ID;SOA;Condition;T1cond;T2cond;Panel;Reaction Time (ms)
40;long;II;I;I;T1-locked RT;947.255335526316
1;short;CC;C;C;T2-locked RT;1514.95
2;short;CC;C;C;T2-locked RT;1254.48
3;short;CC;C;C;T2-locked RT;766.83
4;short;CC;C;C;T2-locked RT;1068.08
5;short;CC;C;C;T2-locked RT;1142.38
6;short;CC;C;C;T2-locked RT;1124.36
7;short;CC;C;C;T2-locked RT;1282.69
8;short;CC;C;C;T2-locked RT;1095.12
9;short;CC;C;C;T2-locked RT;1223.47
10;short;CC;C;C;T2-locked RT;1482.17
11;short;CC;C;C;T2-locked RT;1452.14
12;short;CC;C;C;T2-locked RT;1115.77
13;short;CC;C;C;T2-locked RT;1225.79
14;short;CC;C;C;T2-locked RT;990.23
15;short;CC;C;C;T2-locked RT;1521.03
16;short;CC;C;C;T2-locked RT;1278.38
17;short;CC;C;C;T2-locked RT;1365.53
18;short;CC;C;C;T2-locked RT;1487.36
19;short;CC;C;C;T2-locked RT;1137.83
20;short;CC;C;C;T2-locked RT;1069.59
21;short;CC;C;C;T2-locked RT;1060.16
22;short;CC;C;C;T2-locked RT;1052.19
23;short;CC;C;C;T2-locked RT;872.41
24;short;CC;C;C;T2-locked RT;1346.52
25;short;CC;C;C;T2-locked RT;1211.97
26;short;CC;C;C;T2-locked RT;934.85
27;short;CC;C;C;T2-locked RT;1079.73
28;short;CC;C;C;T2-locked RT;974.92
29;short;CC;C;C;T2-locked RT;1110.21
30;short;CC;C;C;T2-locked RT;1005.52
31;short;CC;C;C;T2-locked RT;1036.73
32;short;CC;C;C;T2-locked RT;860.71
33;short;CC;C;C;T2-locked RT;981.76
34;short;CC;C;C;T2-locked RT;810.29
35;short;CC;C;C;T2-locked RT;968.49
36;short;CC;C;C;T2-locked RT;1393.81
37;short;CC;C;C;T2-locked RT;758.03
38;short;CC;C;C;T2-locked RT;1137.49125
39;short;CC;C;C;T2-locked RT;1136.68345394737
40;short;CC;C;C;T2-locked RT;1137.47201676065
1;short;CI;C;I;T2-locked RT;1649.72
2;short;CI;C;I;T2-locked RT;1440.98
3;short;CI;C;I;T2-locked RT;824.7
4;short;CI;C;I;T2-locked RT;1200.06
5;short;CI;C;I;T2-locked RT;1273.94
6;short;CI;C;I;T2-locked RT;1265.2
7;short;CI;C;I;T2-locked RT;1449.2
8;short;CI;C;I;T2-locked RT;1137.22
9;short;CI;C;I;T2-locked RT;1378.28
10;short;CI;C;I;T2-locked RT;1379.69
11;short;CI;C;I;T2-locked RT;1516.09
12;short;CI;C;I;T2-locked RT;1218.75
13;short;CI;C;I;T2-locked RT;1304.63
14;short;CI;C;I;T2-locked RT;1058.61
15;short;CI;C;I;T2-locked RT;1545.37
16;short;CI;C;I;T2-locked RT;1433.83
17;short;CI;C;I;T2-locked RT;1560.25
18;short;CI;C;I;T2-locked RT;1469.64
19;short;CI;C;I;T2-locked RT;1212.66
20;short;CI;C;I;T2-locked RT;1246.43
21;short;CI;C;I;T2-locked RT;1294.51
22;short;CI;C;I;T2-locked RT;1211.4
23;short;CI;C;I;T2-locked RT;901.75
24;short;CI;C;I;T2-locked RT;1497.28
25;short;CI;C;I;T2-locked RT;1404.65
26;short;CI;C;I;T2-locked RT;1054.05
27;short;CI;C;I;T2-locked RT;1126.41
28;short;CI;C;I;T2-locked RT;1099.69
29;short;CI;C;I;T2-locked RT;1196.93
30;short;CI;C;I;T2-locked RT;1060.27
31;short;CI;C;I;T2-locked RT;1206.47
32;short;CI;C;I;T2-locked RT;946.62
33;short;CI;C;I;T2-locked RT;1092.26
34;short;CI;C;I;T2-locked RT;872.01
35;short;CI;C;I;T2-locked RT;1048.68
36;short;CI;C;I;T2-locked RT;1429.18
37;short;CI;C;I;T2-locked RT;821.28
38;short;CI;C;I;T2-locked RT;1237.50125
39;short;CI;C;I;T2-locked RT;1238.58398026316
40;short;CI;C;I;T2-locked RT;1237.52702929198
1;short;IC;I;C;T2-locked RT;1589.85
2;short;IC;I;C;T2-locked RT;1389.44
3;short;IC;I;C;T2-locked RT;800.76
4;short;IC;I;C;T2-locked RT;1200.74
5;short;IC;I;C;T2-locked RT;1215.45
6;short;IC;I;C;T2-locked RT;1232.66
7;short;IC;I;C;T2-locked RT;1413.15
8;short;IC;I;C;T2-locked RT;1137.56
9;short;IC;I;C;T2-locked RT;1292.85
10;short;IC;I;C;T2-locked RT;1405.33
11;short;IC;I;C;T2-locked RT;1597.45
12;short;IC;I;C;T2-locked RT;1227.71
13;short;IC;I;C;T2-locked RT;1248.98
14;short;IC;I;C;T2-locked RT;1110.37
15;short;IC;I;C;T2-locked RT;1521.3
16;short;IC;I;C;T2-locked RT;1362.52
17;short;IC;I;C;T2-locked RT;1507.53
18;short;IC;I;C;T2-locked RT;1550.47
19;short;IC;I;C;T2-locked RT;1254.04
20;short;IC;I;C;T2-locked RT;1227
21;short;IC;I;C;T2-locked RT;1228.56
22;short;IC;I;C;T2-locked RT;1187.93
23;short;IC;I;C;T2-locked RT;996.46
24;short;IC;I;C;T2-locked RT;1502.14
25;short;IC;I;C;T2-locked RT;1341.23
26;short;IC;I;C;T2-locked RT;1045.42
27;short;IC;I;C;T2-locked RT;1113.81
28;short;IC;I;C;T2-locked RT;1097.12
29;short;IC;I;C;T2-locked RT;1190.46
30;short;IC;I;C;T2-locked RT;1116
31;short;IC;I;C;T2-locked RT;1236.53
32;short;IC;I;C;T2-locked RT;965.12
33;short;IC;I;C;T2-locked RT;1009.97
34;short;IC;I;C;T2-locked RT;861.8
35;short;IC;I;C;T2-locked RT;1019.33
36;short;IC;I;C;T2-locked RT;1410.35
37;short;IC;I;C;T2-locked RT;821.21
38;short;IC;I;C;T2-locked RT;1230.694
39;short;IC;I;C;T2-locked RT;1227.87615789474
40;short;IC;I;C;T2-locked RT;1230.6269085213
1;short;II;I;I;T2-locked RT;1655.39
2;short;II;I;I;T2-locked RT;1508.25
3;short;II;I;I;T2-locked RT;881.83
4;short;II;I;I;T2-locked RT;1255.84
5;short;II;I;I;T2-locked RT;1319.63
6;short;II;I;I;T2-locked RT;1398.44
7;short;II;I;I;T2-locked RT;1527.8
8;short;II;I;I;T2-locked RT;1193.25
9;short;II;I;I;T2-locked RT;1425.9
10;short;II;I;I;T2-locked RT;1458.87
11;short;II;I;I;T2-locked RT;1676.26
12;short;II;I;I;T2-locked RT;1300.57
13;short;II;I;I;T2-locked RT;1353.89
14;short;II;I;I;T2-locked RT;1210.43
15;short;II;I;I;T2-locked RT;1543.76
16;short;II;I;I;T2-locked RT;1515.92
17;short;II;I;I;T2-locked RT;1706.41
18;short;II;I;I;T2-locked RT;1642.62
19;short;II;I;I;T2-locked RT;1304.89
20;short;II;I;I;T2-locked RT;1391.09
21;short;II;I;I;T2-locked RT;1448.04
22;short;II;I;I;T2-locked RT;1233.26
23;short;II;I;I;T2-locked RT;1014.09
24;short;II;I;I;T2-locked RT;1596.83
25;short;II;I;I;T2-locked RT;1427.93
26;short;II;I;I;T2-locked RT;1149.91
27;short;II;I;I;T2-locked RT;1237.7
28;short;II;I;I;T2-locked RT;1125.2
29;short;II;I;I;T2-locked RT;1263.21
30;short;II;I;I;T2-locked RT;1119.79
31;short;II;I;I;T2-locked RT;1283.95
32;short;II;I;I;T2-locked RT;1076.15
33;short;II;I;I;T2-locked RT;1191.96
34;short;II;I;I;T2-locked RT;873.25
35;short;II;I;I;T2-locked RT;1087.74
36;short;II;I;I;T2-locked RT;1432.54
37;short;II;I;I;T2-locked RT;860.13
38;short;II;I;I;T2-locked RT;1323.3845
39;short;II;I;I;T2-locked RT;1316.21327631579
40;short;II;I;I;T2-locked RT;1323.21375657895
1;long;CC;C;C;T2-locked RT;841.31
2;long;CC;C;C;T2-locked RT;676.96
3;long;CC;C;C;T2-locked RT;543.71
4;long;CC;C;C;T2-locked RT;611.97
5;long;CC;C;C;T2-locked RT;685.83
6;long;CC;C;C;T2-locked RT;673.97
7;long;CC;C;C;T2-locked RT;668.85
8;long;CC;C;C;T2-locked RT;668.26
9;long;CC;C;C;T2-locked RT;632.21
10;long;CC;C;C;T2-locked RT;861.47
11;long;CC;C;C;T2-locked RT;718.38
12;long;CC;C;C;T2-locked RT;646.46
13;long;CC;C;C;T2-locked RT;594.34
14;long;CC;C;C;T2-locked RT;638.01
15;long;CC;C;C;T2-locked RT;771.08
16;long;CC;C;C;T2-locked RT;706.07
17;long;CC;C;C;T2-locked RT;777.82
18;long;CC;C;C;T2-locked RT;772
19;long;CC;C;C;T2-locked RT;602.59
20;long;CC;C;C;T2-locked RT;670.41
21;long;CC;C;C;T2-locked RT;669.35
22;long;CC;C;C;T2-locked RT;682.31
23;long;CC;C;C;T2-locked RT;519.34
24;long;CC;C;C;T2-locked RT;743.32
25;long;CC;C;C;T2-locked RT;695.38
26;long;CC;C;C;T2-locked RT;617.02
27;long;CC;C;C;T2-locked RT;648.83
28;long;CC;C;C;T2-locked RT;673.31
29;long;CC;C;C;T2-locked RT;720.57
30;long;CC;C;C;T2-locked RT;498.22
31;long;CC;C;C;T2-locked RT;637.24
32;long;CC;C;C;T2-locked RT;608.05
33;long;CC;C;C;T2-locked RT;527.97
34;long;CC;C;C;T2-locked RT;500.98
35;long;CC;C;C;T2-locked RT;623.51
36;long;CC;C;C;T2-locked RT;629.99
37;long;CC;C;C;T2-locked RT;568.68
38;long;CC;C;C;T2-locked RT;655.18525
39;long;CC;C;C;T2-locked RT;657.393559210527
40;long;CC;C;C;T2-locked RT;655.237828790727
1;long;CI;C;I;T2-locked RT;975.1
2;long;CI;C;I;T2-locked RT;889.79
3;long;CI;C;I;T2-locked RT;602.45
4;long;CI;C;I;T2-locked RT;653.62
5;long;CI;C;I;T2-locked RT;767.82
6;long;CI;C;I;T2-locked RT;820.75
7;long;CI;C;I;T2-locked RT;864.25
8;long;CI;C;I;T2-locked RT;750.53
9;long;CI;C;I;T2-locked RT;755.55
10;long;CI;C;I;T2-locked RT;947.74
11;long;CI;C;I;T2-locked RT;907.73
12;long;CI;C;I;T2-locked RT;726.95
13;long;CI;C;I;T2-locked RT;655.16
14;long;CI;C;I;T2-locked RT;715.09
15;long;CI;C;I;T2-locked RT;856.07
16;long;CI;C;I;T2-locked RT;829.31
17;long;CI;C;I;T2-locked RT;760
18;long;CI;C;I;T2-locked RT;928.3
19;long;CI;C;I;T2-locked RT;679
20;long;CI;C;I;T2-locked RT;818.41
21;long;CI;C;I;T2-locked RT;864.06
22;long;CI;C;I;T2-locked RT;792.47
23;long;CI;C;I;T2-locked RT;618.27
24;long;CI;C;I;T2-locked RT;892.1
25;long;CI;C;I;T2-locked RT;750.21
26;long;CI;C;I;T2-locked RT;749.55
27;long;CI;C;I;T2-locked RT;740.51
28;long;CI;C;I;T2-locked RT;805.68
29;long;CI;C;I;T2-locked RT;822.1
30;long;CI;C;I;T2-locked RT;500.18
31;long;CI;C;I;T2-locked RT;802
32;long;CI;C;I;T2-locked RT;698.01
33;long;CI;C;I;T2-locked RT;723.77
34;long;CI;C;I;T2-locked RT;658.56
35;long;CI;C;I;T2-locked RT;742.49
36;long;CI;C;I;T2-locked RT;739.65
37;long;CI;C;I;T2-locked RT;673.93
38;long;CI;C;I;T2-locked RT;757.49725
39;long;CI;C;I;T2-locked RT;769.333085526316
40;long;CI;C;I;T2-locked RT;757.779055607769
1;long;IC;I;C;T2-locked RT;848.54
2;long;IC;I;C;T2-locked RT;668.98
3;long;IC;I;C;T2-locked RT;517.91
4;long;IC;I;C;T2-locked RT;592.89
5;long;IC;I;C;T2-locked RT;683.85
6;long;IC;I;C;T2-locked RT;708.69
7;long;IC;I;C;T2-locked RT;660
8;long;IC;I;C;T2-locked RT;668.46
9;long;IC;I;C;T2-locked RT;651.88
10;long;IC;I;C;T2-locked RT;801.18
11;long;IC;I;C;T2-locked RT;733.3
12;long;IC;I;C;T2-locked RT;668.06
13;long;IC;I;C;T2-locked RT;424.84
14;long;IC;I;C;T2-locked RT;650.71
15;long;IC;I;C;T2-locked RT;746.55
16;long;IC;I;C;T2-locked RT;684.19
17;long;IC;I;C;T2-locked RT;898.31
18;long;IC;I;C;T2-locked RT;788.42
19;long;IC;I;C;T2-locked RT;556.16
20;long;IC;I;C;T2-locked RT;704.37
21;long;IC;I;C;T2-locked RT;655.1
22;long;IC;I;C;T2-locked RT;653.37
23;long;IC;I;C;T2-locked RT;508.23
24;long;IC;I;C;T2-locked RT;712.08
25;long;IC;I;C;T2-locked RT;690.26
26;long;IC;I;C;T2-locked RT;582.32
27;long;IC;I;C;T2-locked RT;635.49
28;long;IC;I;C;T2-locked RT;673.19
29;long;IC;I;C;T2-locked RT;724.74
30;long;IC;I;C;T2-locked RT;384.13
31;long;IC;I;C;T2-locked RT;638.43
32;long;IC;I;C;T2-locked RT;576.09
33;long;IC;I;C;T2-locked RT;415.02
34;long;IC;I;C;T2-locked RT;515.46
35;long;IC;I;C;T2-locked RT;643.67
36;long;IC;I;C;T2-locked RT;639.83
37;long;IC;I;C;T2-locked RT;565.11
38;long;IC;I;C;T2-locked RT;648.5785
39;long;IC;I;C;T2-locked RT;645.22075
40;long;IC;I;C;T2-locked RT;648.498553571429
1;long;II;I;I;T2-locked RT;961.08
2;long;II;I;I;T2-locked RT;851.15
3;long;II;I;I;T2-locked RT;583.5
4;long;II;I;I;T2-locked RT;691.32
5;long;II;I;I;T2-locked RT;802.16
6;long;II;I;I;T2-locked RT;847.21
7;long;II;I;I;T2-locked RT;843.41
8;long;II;I;I;T2-locked RT;710.81
9;long;II;I;I;T2-locked RT;769.63
10;long;II;I;I;T2-locked RT;913.31
11;long;II;I;I;T2-locked RT;875.05
12;long;II;I;I;T2-locked RT;708.02
13;long;II;I;I;T2-locked RT;245.81
14;long;II;I;I;T2-locked RT;702.12
15;long;II;I;I;T2-locked RT;808.91
16;long;II;I;I;T2-locked RT;806.34
17;long;II;I;I;T2-locked RT;792.5
18;long;II;I;I;T2-locked RT;903.31
19;long;II;I;I;T2-locked RT;640.68
20;long;II;I;I;T2-locked RT;794.85
21;long;II;I;I;T2-locked RT;862.55
22;long;II;I;I;T2-locked RT;782.3
23;long;II;I;I;T2-locked RT;614.49
24;long;II;I;I;T2-locked RT;910.83
25;long;II;I;I;T2-locked RT;760.09
26;long;II;I;I;T2-locked RT;781.47
27;long;II;I;I;T2-locked RT;737.5
28;long;II;I;I;T2-locked RT;859.25
29;long;II;I;I;T2-locked RT;888.51
30;long;II;I;I;T2-locked RT;575.87
31;long;II;I;I;T2-locked RT;786.65
32;long;II;I;I;T2-locked RT;725.89
33;long;II;I;I;T2-locked RT;473.07
34;long;II;I;I;T2-locked RT;614.73
35;long;II;I;I;T2-locked RT;718.78
36;long;II;I;I;T2-locked RT;740.12
37;long;II;I;I;T2-locked RT;648.13
38;long;II;I;I;T2-locked RT;720.7385
39;long;II;I;I;T2-locked RT;748.740486842105
40;long;II;I;I;T2-locked RT;721.405213972431